Simplified User View Requirements,,,
✓,Req ID,Requirement,Description/Notes
,FR-1,System Access,Users access the tool through their banking platform without separate credentials and begin working immediately.
☐,FR-1.1,Users shall access the tool by clicking a button or tile in their banking dashboard (desktop or mobile),
☐,FR-1.2,Users shall not be required to enter separate username or password,
,FR-2,Initial Setup,New users complete a one-time setup process to configure their firm and begin tracking cases.
☐,FR-2.1,"ATTY Financial representative will complete admin setup, inclusive of prime rate and client-specific modifier.",
☐,FR-2.2,"First-time users shall complete a setup wizard where they enter: Firm name, contact information, and upload firm logo.",
☐,FR-2.3,Users shall be able to edit firm settings after initial setup,
,FR-3,Compliance Certification,"Each user to certify that funds will be for approved case expenses, entries are accurate, case-specific principal to be repaid within 30 days of case closure, and e-signed."
☐,FR-3.1,"User to review, agree to terms, and certify accuracy of information and digitally sign.",
☐,FR-3.2,User agrees to allow ATTY Financial to pull firm reports when needed to provide to bank partner.,
,FR-4,Client Matters,"Users create unique client matters, set status, and track them from opening through settlement or closure."
☐,FR-4.1,"Users shall create new matters by entering: Unique Matter ID, Full Client Name, Status (Active/Closed/Archive), Optional notes.",
☐,FR-4.2,Users shall see an error message if they attempt to create a case with a duplicate Matter ID,
☐,FR-4.3,Users shall be able to update case status at any time,
☐,FR-4.4,Users shall close cases by updating case status to Closed/Archived.,
☐,FR-4.5,Users shall see an error if they attempt to close a Matter that still has a principal balance.,
☐,FR-4.6,Users shall be able to search cases by Matter ID or client name,
☐,FR-4.7,"Users shall have link displayed for each case to show: Total draws, Total principal payments, Total interest accrued, Principal balance, Total owed.",
☐,FR-4.8,Users shall have link displayed for each case to generate firm payoff report.,
☐,FR-4.9,Users shall have link displayed for each case to generate client payoff report.,
,FR-5,Transaction Logging - Draws on Line of Credit,Users record line of credit draws allocating expenses to specific Matters with proper categorization.
☐,FR-5.1,"Transactions should populate in a ""dashboard"" driven by a live feed/API connection from the banking platform.",
☐,FR-5.2,"Line of credit draw transactions should populate in a ""dashboard"" with a Type of ""Draw"".",
☐,FR-5.3,"Users shall assign each transaction across one or multiple Matters, while having the ability to assign specific dollar amounts to each Matter, as well as categorizing via an approved list of expense/payment categories.",
☐,FR-5.4,"Users shall select expense category from a list including: Court & Filing Fees, Service of Process, Depositions & Transcripts, Expert Witness Fees, Medical Records & Related Costs, Investigation & Evidence, Discovery & Document Production, Witness Costs, Travel & Trial Preparation, Mediation & Arbitration, Miscellaneous.",
☐,FR-5.5,Users shall see an error if they attempt to enter negative amounts,
☐,FR-5.6,Users shall see an error if they assign a transaction to a Matter that is Closed/Archived.,
☐,FR-5.7,"Users shall be able to filter transactions by case, type, category, or date range",
,FR-6,Transaction Logging - Payments to Line of Credit,Users record payments to specific Matters within the line of credit to either pay off principal balance or make principal balance adjustments.
☐,FR-6.1,"Payment transactions should populate in a ""dashboard"" driven by a live feed/API connection from the banking platform.",
☐,FR-6.2,"Line of credit payment transactions should populate in a ""dashboard"" with a Type of ""Principal Payment"".",
☐,FR-6.3,"Users shall assign each payment across one or multiple Matters, while having the ability to assign specific dollar amounts to each Matter, as well as categorizing via an approved list of payment categories.",
☐,FR-6.4,"Users shall select payment category from a list including: Principal Payment/Adjustment, Payoff.",
☐,FR-6.5,Users shall see an error if they attempt to enter negative amounts,
☐,FR-6.6,Users shall see an error if they attempt to enter payment amount greater than principal balance.,
☐,FR-6.7,Users shall see an error if they assign a transaction to a Matter that is Closed/Archived.,
☐,FR-6.8,"Users shall be able to filter transactions by case, type, category, or date range",
